batch_index,checkpoint_variant,rho,base_loss,perturbed_loss,sharpness,model
0,best_id,0.001,0.2613019347190857,0.2633240520954132,0.0020221173763275146,SGD
1,best_id,0.001,0.39088350534439087,0.3932775855064392,0.00239408016204834,SGD
2,best_id,0.001,0.27313506603240967,0.27542173862457275,0.002286672592163086,SGD
3,best_id,0.001,0.2875201106071472,0.2899809181690216,0.0024608075618743896,SGD
4,best_id,0.001,0.21702110767364502,0.2196623682975769,0.0026412606239318848,SGD
5,best_id,0.001,0.43899476528167725,0.4415581226348877,0.0025633573532104492,SGD
6,best_id,0.001,0.47187528014183044,0.47501128911972046,0.0031360089778900146,SGD
7,best_id,0.001,0.2877102792263031,0.29001539945602417,0.0023051202297210693,SGD
8,best_id,0.001,0.5716909766197205,0.5756819844245911,0.0039910078048706055,SGD
9,best_id,0.001,0.332511305809021,0.3354300856590271,0.0029187798500061035,SGD
0,best_id,0.005,0.2613019347190857,0.27167996764183044,0.010378032922744751,SGD
1,best_id,0.005,0.39088350534439087,0.40310242772102356,0.01221892237663269,SGD
2,best_id,0.005,0.27313506603240967,0.2848634719848633,0.011728405952453613,SGD
3,best_id,0.005,0.2875201106071472,0.3001179099082947,0.012597799301147461,SGD
4,best_id,0.005,0.21702110767364502,0.23067942261695862,0.013658314943313599,SGD
5,best_id,0.005,0.43899476528167725,0.45201706886291504,0.013022303581237793,SGD
6,best_id,0.005,0.47187528014183044,0.4879956841468811,0.01612040400505066,SGD
7,best_id,0.005,0.2877102792263031,0.29950207471847534,0.011791795492172241,SGD
8,best_id,0.005,0.5716909766197205,0.5920477509498596,0.02035677433013916,SGD
9,best_id,0.005,0.332511305809021,0.34742069244384766,0.01490938663482666,SGD
0,best_id,0.01,0.2613019347190857,0.28270530700683594,0.021403372287750244,SGD
1,best_id,0.01,0.39088350534439087,0.415938138961792,0.025054633617401123,SGD
2,best_id,0.01,0.27313506603240967,0.29729241132736206,0.024157345294952393,SGD
3,best_id,0.01,0.2875201106071472,0.3135190010070801,0.02599889039993286,SGD
4,best_id,0.01,0.21702110767364502,0.24542081356048584,0.02839970588684082,SGD
5,best_id,0.01,0.43899476528167725,0.4655444025993347,0.02654963731765747,SGD
6,best_id,0.01,0.47187528014183044,0.5050854086875916,0.03321012854576111,SGD
7,best_id,0.01,0.2877102792263031,0.31195205450057983,0.024241775274276733,SGD
8,best_id,0.01,0.5716909766197205,0.6133575439453125,0.04166656732559204,SGD
9,best_id,0.01,0.332511305809021,0.3631371259689331,0.03062582015991211,SGD
0,best_id,0.05,0.2613019347190857,0.3939709961414337,0.13266906142234802,SGD
1,best_id,0.05,0.39088350534439087,0.5433214902877808,0.1524379849433899,SGD
2,best_id,0.05,0.27313506603240967,0.4178660213947296,0.14473095536231995,SGD
3,best_id,0.05,0.2875201106071472,0.440826416015625,0.15330630540847778,SGD
4,best_id,0.05,0.21702110767364502,0.4016605317592621,0.18463942408561707,SGD
5,best_id,0.05,0.43899476528167725,0.5905597805976868,0.15156501531600952,SGD
6,best_id,0.05,0.47187528014183044,0.6687474846839905,0.19687220454216003,SGD
7,best_id,0.05,0.2877102792263031,0.43341583013534546,0.14570555090904236,SGD
8,best_id,0.05,0.5716909766197205,0.818477213382721,0.2467862367630005,SGD
9,best_id,0.05,0.332511305809021,0.5068439841270447,0.17433267831802368,SGD
0,best_id,0.001,0.38916605710983276,0.39173024892807007,0.0025641918182373047,SAM
1,best_id,0.001,0.3240137994289398,0.326572060585022,0.0025582611560821533,SAM
2,best_id,0.001,0.35575559735298157,0.3582752048969269,0.0025196075439453125,SAM
3,best_id,0.001,0.3622905910015106,0.36490780115127563,0.0026172101497650146,SAM
4,best_id,0.001,0.2433413863182068,0.2453829050064087,0.0020415186882019043,SAM
5,best_id,0.001,0.4296471178531647,0.4323194921016693,0.0026723742485046387,SAM
6,best_id,0.001,0.5023524165153503,0.5050433874130249,0.0026909708976745605,SAM
7,best_id,0.001,0.3664897680282593,0.36958634853363037,0.0030965805053710938,SAM
8,best_id,0.001,0.4324047863483429,0.43455469608306885,0.002149909734725952,SAM
9,best_id,0.001,0.32432499527931213,0.3265334367752075,0.0022084414958953857,SAM
0,best_id,0.005,0.38916605710983276,0.40219688415527344,0.013030827045440674,SAM
1,best_id,0.005,0.3240137994289398,0.3370462656021118,0.013032466173171997,SAM
2,best_id,0.005,0.35575559735298157,0.3685031235218048,0.012747526168823242,SAM
3,best_id,0.005,0.3622905910015106,0.3756086826324463,0.013318091630935669,SAM
4,best_id,0.005,0.2433413863182068,0.25373220443725586,0.010390818119049072,SAM
5,best_id,0.005,0.4296471178531647,0.44321906566619873,0.013571947813034058,SAM
6,best_id,0.005,0.5023524165153503,0.515925407409668,0.013572990894317627,SAM
7,best_id,0.005,0.3664897680282593,0.3823913335800171,0.015901565551757812,SAM
8,best_id,0.005,0.4324047863483429,0.44331657886505127,0.010911792516708374,SAM
9,best_id,0.005,0.32432499527931213,0.3356105387210846,0.011285543441772461,SAM
0,best_id,0.01,0.38916605710983276,0.4156987965106964,0.026532739400863647,SAM
1,best_id,0.01,0.3240137994289398,0.3507148325443268,0.026701033115386963,SAM
2,best_id,0.01,0.35575559735298157,0.3816412687301636,0.025885671377182007,SAM
3,best_id,0.01,0.3622905910015106,0.3895382285118103,0.027247637510299683,SAM
4,best_id,0.01,0.2433413863182068,0.26458489894866943,0.021243512630462646,SAM
5,best_id,0.01,0.4296471178531647,0.457295298576355,0.027648180723190308,SAM
6,best_id,0.01,0.5023524165153503,0.5298255085945129,0.027473092079162598,SAM
7,best_id,0.01,0.3664897680282593,0.399333119392395,0.03284335136413574,SAM
8,best_id,0.01,0.4324047863483429,0.45464783906936646,0.02224305272102356,SAM
9,best_id,0.01,0.32432499527931213,0.3475387394428253,0.023213744163513184,SAM
0,best_id,0.05,0.38916605710983276,0.5392916202545166,0.15012556314468384,SAM
1,best_id,0.05,0.3240137994289398,0.4804684519767761,0.1564546525478363,SAM
2,best_id,0.05,0.35575559735298157,0.4981660544872284,0.14241045713424683,SAM
3,best_id,0.05,0.3622905910015106,0.5205923914909363,0.15830180048942566,SAM
4,best_id,0.05,0.2433413863182068,0.36634576320648193,0.12300437688827515,SAM
5,best_id,0.05,0.4296471178531647,0.5844718217849731,0.15482470393180847,SAM
6,best_id,0.05,0.5023524165153503,0.6498351693153381,0.1474827527999878,SAM
7,best_id,0.05,0.3664897680282593,0.5650404691696167,0.19855070114135742,SAM
8,best_id,0.05,0.4324047863483429,0.5600042939186096,0.12759950757026672,SAM
9,best_id,0.05,0.32432499527931213,0.4618983268737793,0.13757333159446716,SAM
