epoch,lr,train_loss,train_acc,id_loss,id_acc,ood_noise_loss,ood_noise_acc,ood_blur_loss,ood_blur_acc,ood_brightness_loss,ood_brightness_acc,avg_ood_acc,id_ood_acc_drop
1,0.1,2.1489450020980834,0.2421,1.6356768131256103,0.393,1.761112228012085,0.3498,1.7417462348937989,0.355,1.8792577806472779,0.3197,0.34149999999999997,0.051500000000000046
2,0.09990133642141358,1.562579436645508,0.41916,1.3801491968154906,0.4908,2.0841771743774413,0.3409,1.4618483547210694,0.4566,1.648462516784668,0.4001,0.3992,0.09160000000000001
3,0.0996057350657239,1.2814700240325927,0.52974,1.1638584051132201,0.5809,2.271879689025879,0.3754,1.488034561729431,0.4843,1.4372277751922606,0.4839,0.44786666666666664,0.13303333333333334
4,0.09911436253643444,1.0480407527923583,0.6246,0.9058633577346802,0.6728,2.7669185962677,0.2848,1.673135018348694,0.4711,1.0291248294830322,0.6302,0.4620333333333333,0.21076666666666666
5,0.09842915805643154,0.8657175805091858,0.6939,0.8031710582733155,0.7209,3.2833859687805176,0.2126,1.4686227300643921,0.5329,0.9970526147842407,0.6505,0.4653333333333333,0.25556666666666666
6,0.09755282581475767,0.7321604536628723,0.74376,0.6946572317123413,0.7572,2.409366365814209,0.2518,1.3537075295448304,0.5751,0.8189278726577759,0.7251,0.5173333333333333,0.23986666666666667
7,0.09648882429441256,0.6375547983551025,0.78102,0.6439568613052368,0.7752,3.438533629989624,0.1788,1.7742882084846496,0.4973,0.7861066640853882,0.7299,0.46866666666666673,0.30653333333333327
8,0.09524135262330098,0.5709396684837341,0.802,0.5489196287155151,0.8098,2.9632178554534914,0.2297,1.4819458273887633,0.5611,0.6971733052253724,0.7579,0.5162333333333334,0.29356666666666653
9,0.09381533400219318,0.5299757657051086,0.81992,0.6348216844558716,0.7852,5.647974097442627,0.1152,1.2920791060447694,0.5837,0.7207792536735534,0.751,0.4833,0.3019
10,0.09221639627510075,0.4935421496963501,0.83178,0.556149884223938,0.8078,3.5699584419250487,0.1737,1.4411127183914185,0.5727,0.6857586526870727,0.764,0.5034666666666666,0.30433333333333334
11,0.09045084971874737,0.4680639847183228,0.83982,0.5192658502101898,0.8194,4.319641630554199,0.1365,1.8738525234222412,0.4904,0.6119099320888519,0.7938,0.4735666666666667,0.3458333333333333
12,0.08852566213878946,0.43875930766105653,0.84796,0.4611124538421631,0.8434,4.544269948577881,0.1328,1.6402156007766724,0.5291,0.5590396160125732,0.8103,0.4907333333333333,0.35266666666666674
13,0.08644843137107057,0.4234653952407837,0.85608,0.5028883556365967,0.8256,4.977520634460449,0.1322,1.5475717147827148,0.5636,0.6970065224647521,0.7638,0.4865333333333333,0.3390666666666667
14,0.08422735529643442,0.40144311421394346,0.8635,0.42372016658782957,0.8514,3.6042547760009764,0.1844,1.2614027124404907,0.612,0.6097389290809632,0.7909,0.5291,0.32230000000000003
15,0.08187119948743447,0.3838798665046692,0.86902,0.43348063611984256,0.8499,4.611644807434082,0.1468,1.4299909423828125,0.5785,0.5326971897125244,0.8148,0.5133666666666666,0.33653333333333335
16,0.07938926261462366,0.36438568082809447,0.87628,0.4791528118133545,0.8311,4.219251576995849,0.1834,1.2339768231391908,0.6144,0.6508481501579285,0.7758,0.5245333333333333,0.30656666666666665
17,0.07679133974894982,0.34616275210380554,0.88338,0.41172322692871094,0.8608,2.6401581356048585,0.2607,1.5144062106132508,0.5975,0.5160183717727661,0.823,0.5604,0.3004
18,0.07408768370508576,0.341236923122406,0.88446,0.375814390707016,0.8693,4.101731126403808,0.1407,1.6564136699676513,0.5181,0.5228112854957581,0.8213,0.49336666666666673,0.37593333333333323
19,0.07128896457825362,0.32522137845039367,0.89038,0.44472238512039186,0.8488,3.950541689300537,0.1739,1.4456244262695312,0.5773,0.7767430753707886,0.7444,0.49853333333333333,0.35026666666666667
20,0.06840622763423389,0.3068380865287781,0.89478,0.46505981788635253,0.8435,4.357558383178711,0.1605,1.0859822328567506,0.6259,0.6455014781951904,0.7881,0.5248333333333334,0.31866666666666665
21,0.06545084971874736,0.2945081177520752,0.90034,0.3777128044128418,0.8716,5.5198860908508305,0.1096,1.203058604335785,0.6304,0.4753143822669983,0.8371,0.5257,0.3459000000000001
22,0.06243449435824272,0.27995191677093506,0.9069,0.3943597233772278,0.8638,3.288960118484497,0.1929,1.588462025308609,0.5704,0.5571346073150635,0.8036,0.5223,0.3415
23,0.05936906572928623,0.26631156165599823,0.91162,0.3763337498664856,0.8759,4.733887475585938,0.1506,1.308080888748169,0.6163,0.5343477171897888,0.8247,0.5305333333333333,0.3453666666666667
24,0.056266661678215216,0.2582593822288513,0.91432,0.36090832419395447,0.8786,5.301213516235352,0.1257,1.0221894377708436,0.6672,0.5187716640472412,0.8277,0.5402,0.33840000000000003
